player_ID,playing_hrs,matches_played,win_rate_percentage,rank_points
1,208,835,38,error: Field 'win_rate' not found
2,158,477,45,error: Field 'win_rate' not found
3,347,684,39,error: Field 'win_rate' not found
4,355,718,44,error: Field 'win_rate' not found
5,176,724,47,error: Field 'win_rate' not found
6,374,1657,42,error: Field 'win_rate' not found
7,380,867,40,error: Field 'win_rate' not found
8,447,1122,49,error: Field 'win_rate' not found
9,363,1231,48,error: Field 'win_rate' not found
10,406,845,46,error: Field 'win_rate' not found
11,460,840,50,error: Field 'win_rate' not found
12,221,903,42,error: Field 'win_rate' not found
13,262,1162,37,error: Field 'win_rate' not found
14,117,523,41,error: Field 'win_rate' not found
15,478,1896,54,error: Field 'win_rate' not found
16,138,224,47,error: Field 'win_rate' not found
17,397,1003,53,error: Field 'win_rate' not found
18,408,788,49,error: Field 'win_rate' not found
19,226,774,51,error: Field 'win_rate' not found
20,154,659,45,error: Field 'win_rate' not found
21,110,347,49,error: Field 'win_rate' not found
22,472,862,45,error: Field 'win_rate' not found
23,428,799,41,error: Field 'win_rate' not found
24,186,617,50,error: Field 'win_rate' not found
25,466,703,52,error: Field 'win_rate' not found
26,232,509,42,error: Field 'win_rate' not found
27,302,1333,46,error: Field 'win_rate' not found
28,499,2144,47,error: Field 'win_rate' not found
29,370,1542,49,error: Field 'win_rate' not found
30,492,1398,46,error: Field 'win_rate' not found
31,125,347,43,error: Field 'win_rate' not found
32,394,1466,39,error: Field 'win_rate' not found
33,467,1038,52,error: Field 'win_rate' not found
34,266,426,47,error: Field 'win_rate' not found
35,410,1592,39,error: Field 'win_rate' not found
36,235,1038,50,error: Field 'win_rate' not found
37,402,1130,53,error: Field 'win_rate' not found
38,283,669,47,error: Field 'win_rate' not found
39,132,239,49,error: Field 'win_rate' not found
40,479,910,45,error: Field 'win_rate' not found
41,256,1016,50,error: Field 'win_rate' not found
42,171,603,50,error: Field 'win_rate' not found
43,181,341,46,error: Field 'win_rate' not found
44,110,463,49,error: Field 'win_rate' not found
45,403,1621,53,error: Field 'win_rate' not found
46,433,1489,39,error: Field 'win_rate' not found
47,311,1316,40,error: Field 'win_rate' not found
48,139,332,36,error: Field 'win_rate' not found
49,472,1079,53,error: Field 'win_rate' not found
50,117,407,41,error: Field 'win_rate' not found
